course_branch_id,course_lesson_id,course_module_id,course_branch_lesson_order,course_branch_lesson_name
"01XLylXyEeWKXg4Y7_tPaw","vI0o3","2XbCA",1,"Вводное занятие"
"01XLylXyEeWKXg4Y7_tPaw","rv9fI","55Nqt",0,"Метрические методы"
"01XLylXyEeWKXg4Y7_tPaw","ydS9W","nOWoq",0,"Частичное обучение"
"01XLylXyEeWKXg4Y7_tPaw","rIBKM","2XbCA",0,"Добро пожаловать!"
"01XLylXyEeWKXg4Y7_tPaw","nwr8n","55Nqt",1,"Анкета"
"01XLylXyEeWKXg4Y7_tPaw","i4xdu","XBmmA",0,"Нейронные сети"
"01XLylXyEeWKXg4Y7_tPaw","7hdY4","ZZuFJ",0,"Машинное обучение в прикладных задачах"
"01XLylXyEeWKXg4Y7_tPaw","xJ3nu","67bmg",0,"Метод опорных векторов"
"01XLylXyEeWKXg4Y7_tPaw","LWzLO","67bmg",1,"Логистическая регрессия"
"01XLylXyEeWKXg4Y7_tPaw","AT8MH","1PKYj",0,"Линейная регрессия"
"01XLylXyEeWKXg4Y7_tPaw","TWKZE","ZZuFJ",1,"Финальное задание"
"01XLylXyEeWKXg4Y7_tPaw","pV0JI","5TNH1",0,"Метрики качества"
"01XLylXyEeWKXg4Y7_tPaw","lUwz8","Ok8Fh",0,"Кластеризация и визуализация"
"01XLylXyEeWKXg4Y7_tPaw","C6hMo","2XbCA",2,"Знакомство с инструментами"
"01XLylXyEeWKXg4Y7_tPaw","Oz2bJ","4SyNC",0,"Линейные методы классификации"
"01XLylXyEeWKXg4Y7_tPaw","atzjh","BpdTw",0,"Решающие деревья"
"01XLylXyEeWKXg4Y7_tPaw","RYaUM","FeQOm",0,"Композиции алгоритмов"
"01XLylXyEeWKXg4Y7_tPaw","Iqxp1","IzBli",0,"Понижение размерности и метод главных компонент"
